,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
121,"Milk, Eggs, Wheat, Soybeans, Gluten",1486,,72.8,5,72.8,"Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Bacon (Cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite.), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086448,0001-01-01T00:00:00,Bacon Breakfast Burrito,6.95,58.5,21.4,1 EACH,2713,Breakfast Specials,4.4,ALL DAY,73.9,981,0
122,"Milk, Eggs, Soybeans",1035,,538.2,5,538.2,"Egg Whites (Egg Whites, Less than 1%: Vegetable Gums (xanthan and guar gum), Color (includes beta carotene), Vitamins and Minerals: Calcium Sulfate, Iron (ferric phosphate), Vitamin E (alpha tocopheryl acetate), Zinc Sulfate, Calcium Pantothenate, Vitamin B12, Vitamin B1 (thiamin mononitrate), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Folic Acid (B vitamin), Biotin, Vitamin D2.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), COTIJA CHEESE GRATED (CULTURED PASTEURIZED GRADE A MILK AND SKIM MILK, SEA SALT, POTATO STARCH, CORN STARCH AND CALCIUM SULFATE (ADDED TO PREVENT CAKING), ENZYMES, AND NATAMYCIN (A MOLD INHIBITOR). ), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Cilantro, Green Bell Pepper, Red Bell Pepper, Yellow Onions, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086449,0001-01-01T00:00:00,Breakfast Bowl w/ Egg Whites,4.95,31.9,17.4,1 EACH,1391.2,Breakfast Specials,3.1,ALL DAY,28.4,831,0
123,"Milk, Eggs, Wheat, Soybeans, Gluten",860,,538.1,5,538.1,"Egg Whites (Egg Whites, Less than 1%: Vegetable Gums (xanthan and guar gum), Color (includes beta carotene), Vitamins and Minerals: Calcium Sulfate, Iron (ferric phosphate), Vitamin E (alpha tocopheryl acetate), Zinc Sulfate, Calcium Pantothenate, Vitamin B12, Vitamin B1 (thiamin mononitrate), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Folic Acid (B vitamin), Biotin, Vitamin D2.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Feta Cheese (Feta Cheese (pasteurized milk, cheese cultures, salt, enzymes), Natamycin (protect flavor).), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Cilantro, Green Bell Pepper, Red Bell Pepper, Yellow Onions, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)",16086450,0001-01-01T00:00:00,Breakfast Burrito w/ Egg Whites,4.95,33.2,14.8,1 EACH,1559.4,Breakfast Specials,5.6,ALL DAY,76.1,425,0
124,"Milk, Eggs, Soybeans",850,,52.1,5,52.1,"Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Feta Cheese (Feta Cheese (pasteurized milk, cheese cultures, salt, enzymes), Natamycin (protect flavor).), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Pork Machaca (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Cooked Boneless Carnitas (Pork Carnitas, Marinated with; Water, Salt, Orange Juice Concentrate, Sugar, Sodium Phosphates, Garlic Powder, Paprika, Caramel Color, Spice.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086451,0001-01-01T00:00:00,Pork Machaca Breakfast Bowl,6.95,12.9,13.5,1 EACH,1023.2,Breakfast Specials,5.4,ALL DAY,26.3,723,0
125,"Milk, Eggs, Wheat, Soybeans, Gluten",1231,,76.8,5,76.8,"Pork Machaca (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Cooked Boneless Carnitas (Pork Carnitas, Marinated with; Water, Salt, Orange Juice Concentrate, Sugar, Sodium Phosphates, Garlic Powder, Paprika, Caramel Color, Spice.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Feta Cheese (Feta Cheese (pasteurized milk, cheese cultures, salt, enzymes), Natamycin (protect flavor).), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086452,0001-01-01T00:00:00,Pork Machaca Breakfast Burrito,6.95,32.8,16.6,1 EACH,1722.6,Breakfast Specials,5.8,ALL DAY,74.9,826,0
126,"Milk, Eggs, Soybeans",1299,,111.1,5,111.1,"Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Louisiana Hot Pork Sausage (Pork, Water, Salt, Sodium Lactate, Natural Flavorings, Sugar, Paprika, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, In A Natural Pork Casing.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086453,0001-01-01T00:00:00,Sausage Breakfast Bowl,6.95,54.4,22.8,1 EACH,2241.2,Breakfast Specials,4.3,ALL DAY,26.5,995,0.2
127,"Milk, Eggs, Wheat, Soybeans, Gluten",1458,,89.7,5,89.7,"Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Louisiana Hot Pork Sausage (Pork, Water, Salt, Sodium Lactate, Natural Flavorings, Sugar, Paprika, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, In A Natural Pork Casing.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086454,0001-01-01T00:00:00,Sausage Breakfast Burrito,6.95,60.3,21,1 EACH,2506.5,Breakfast Specials,4.9,ALL DAY,74.9,940,0
128,"Milk, Eggs, Soybeans",924,,38.6,5,38.6,"Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Soy Chorizo and Egg (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Mexican Soyrizo (Water, Textured Vegetable Protein (soy flour, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin, cyanocobalamin), Soybean Oil, Paprika, Salt (salt, yellow prussiate of soda (anticaking), Vinegar, Spices, Red Pepper, Potassium Sorbate (preservative), Garlic Powder.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086455,0001-01-01T00:00:00,Soy Chorizo Breakfast Bowl,5.95,24.9,14.3,1 EACH,1305.2,Breakfast Specials,3.7,ALL DAY,26,748,0
129,"Milk, Eggs, Wheat, Soybeans, Gluten",1324,,39,5,39,"Soy Chorizo and Egg (Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Mexican Soyrizo (Water, Textured Vegetable Protein (soy flour, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin, cyanocobalamin), Soybean Oil, Paprika, Salt (salt, yellow prussiate of soda (anticaking), Vinegar, Spices, Red Pepper, Potassium Sorbate (preservative), Garlic Powder.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086456,0001-01-01T00:00:00,Soy Chorizo Breakfast Burrito,5.95,42.2,16.4,1 EACH,2100.9,Breakfast Specials,5.5,ALL DAY,77.3,876,0
130,"Milk, Eggs, Soybeans",1011,,39.7,5,39.7,"Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086457,0001-01-01T00:00:00,Standard Breakfast Bowl,4.95,37.8,15,1 EACH,1480,Breakfast Specials,4.3,ALL DAY,26.5,777,0
131,"Milk, Eggs, Wheat, Soybeans, Gluten",899,,39.7,5,39.7,"Eggs (Cage Free Whole Eggs, Citric Acid, 0.15% water, Xanthan Gum, Guar Gum, Nisin.), Flour Tortilla (Enriched Flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Palm Oil, Soybean Oil, Salt, Calcium Propionate, Baking Powder (sodium acid, pyrophosphate, sodium bicarbonate, corn starch, mono calcium phosphate), Mono Diglyceride, Fumaric Acid, Guar Gum, Sodium Metabisulfite.), Potato Taters (Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Sea Salt, Disodium Dihydrogen Pyrophosphate (To Maintain Natural Color), Dextrose), Cotija Cheese (Pasteurized Part Skim Milk, Salt, Enzymes, Potassium Sorbate, Cultures.), Aztec Black Beans (Black Beans (Black Beans, Water, Salt, Calcium Chloride and Ferrous Gluconate (to promote color retention) .), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).)), Yellow Onions, Garlic, Jalapenos, Cilantro, Ground Cumin), Pico de Gallo (Tomatoes, Yellow Onions, Lime Juice (Key west lime juice, sodium benzoate.), Serrano Peppers, Cilantro, Salt), Green Bell Pepper, Red Bell Pepper, Yellow Onions, Cilantro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16086458,0001-01-01T00:00:00,Standard Breakfast Burrito,4.95,45.3,13.2,1 EACH,1886.2,Breakfast Specials,4.4,ALL DAY,73.9,423,0
